movie_id,crew_id,name,role
1,2710,James Cameron,Director
1,2710,James Cameron,Producer
1,8529,Jon Landau,Producer
1,2710,James Cameron,Screenplay
2,1704,Gore Verbinski,Director
2,770,Jerry Bruckheimer,Producer
2,2445,Eric McLeod,Producer
2,2446,Chad Oman,Producer
2,2447,Peter Kohn,Producer
2,2448,Pat Sandston,Producer
2,1705,Ted Elliott,Screenplay
2,1706,Terry Rossio,Screenplay
3,39,Sam Mendes,Director
3,10666,Barbara Broccoli,Producer
3,69678,Michael G. Wilson,Producer
3,932,John Logan,Screenplay
3,10783,Robert Wade,Screenplay
3,10782,Neal Purvis,Screenplay
3,21339,Jez Butterworth,Screenplay
4,525,Christopher Nolan,Director
4,282,Charles Roven,Producer
4,525,Christopher Nolan,Producer
4,556,Emma Thomas,Producer
4,525,Christopher Nolan,Screenplay
4,527,Jonathan Nolan,Screenplay
5,7,Andrew Stanton,Director
5,490,Colin Wilson,Producer
5,72752,Jim Morris,Producer
5,72753,Lindsey Collins,Producer
5,7,Andrew Stanton,Screenplay
5,67758,Michael Chabon,Screenplay
5,126638,Mark Andrews,Screenplay
6,7623,Sam Raimi,Director
6,7627,Laura Ziskin,Producer
6,7626,Avi Arad,Producer
6,7628,Grant Curtis,Producer
6,7623,Sam Raimi,Screenplay
6,7630,Alvin Sargent,Screenplay
6,7629,Ivan Raimi,Screenplay
7,76595,Byron Howard,Director
7,121830,Nathan Greno,Director
7,56612,Roy Conli,Producer
7,15892,Dan Fogelman,Screenplay
8,12891,Joss Whedon,Director
8,10850,Kevin Feige,Producer
9,11343,David Yates,Director
9,10968,David Heyman,Producer
9,65614,David Barron,Producer
9,89320,Tim Lewis,Producer
9,10967,Steve Kloves,Screenplay
10,15217,Zack Snyder,Director
10,282,Charles Roven,Producer
10,79243,Deborah Snyder,Producer
10,3893,David S. Goyer,Screenplay
10,131680,Chris Terrio,Screenplay
11,9032,Bryan Singer,Director
11,3805,Jon Peters,Producer
11,10953,Gilbert Adler,Producer
11,9032,Bryan Singer,Producer
11,11012,Michael Dougherty,Screenplay
11,11013,Dan Harris,Screenplay
12,12995,Marc Forster,Director
12,10666,Barbara Broccoli,Producer
12,69678,Michael G. Wilson,Producer
12,455,Paul Haggis,Screenplay
12,10783,Robert Wade,Screenplay
12,10782,Neal Purvis,Screenplay
13,1704,Gore Verbinski,Director
13,770,Jerry Bruckheimer,Producer
13,2447,Peter Kohn,Producer
13,2448,Pat Sandston,Producer
13,1705,Ted Elliott,Screenplay
13,1706,Terry Rossio,Screenplay
14,1704,Gore Verbinski,Director
14,1704,Gore Verbinski,Producer
14,770,Jerry Bruckheimer,Producer
14,1705,Ted Elliott,Screenplay
14,1706,Terry Rossio,Screenplay
14,66721,Justin Haythe,Screenplay
15,15217,Zack Snyder,Director
15,282,Charles Roven,Producer
15,525,Christopher Nolan,Producer
15,556,Emma Thomas,Producer
15,79243,Deborah Snyder,Producer
15,3893,David S. Goyer,Screenplay
16,5524,Andrew Adamson,Director
16,5162,Mark Johnson,Producer
16,5524,Andrew Adamson,Producer
16,5541,Philip Steuer,Producer
16,5524,Andrew Adamson,Screenplay
16,5551,Christopher Markus,Screenplay
16,5552,Stephen McFeely,Screenplay
17,12891,Joss Whedon,Director
17,10850,Kevin Feige,Producer
17,12891,Joss Whedon,Screenplay
18,17633,Rob Marshall,Director
18,770,Jerry Bruckheimer,Producer
18,1705,Ted Elliott,Screenplay
18,1706,Terry Rossio,Screenplay
19,5174,Barry Sonnenfeld,Director
19,2212,Walter F. Parkes,Producer
19,8701,Laurie MacDonald,Producer
19,52803,Etan Cohen,Screenplay
20,108,Peter Jackson,Director
20,108,Peter Jackson,Producer
20,126,Fran Walsh,Producer
20,3506,Carolynne Cunningham,Producer
20,53393,Zane Weiner,Producer
21,87742,Marc Webb,Director
21,7627,Laura Ziskin,Producer
21,7626,Avi Arad,Producer
21,977941,Matt Tolmach,Producer
21,7630,Alvin Sargent,Screenplay
21,10967,Steve Kloves,Screenplay
21,20204,James Vanderbilt,Screenplay
22,578,Ridley Scott,Director
22,339,Brian Grazer,Producer
22,578,Ridley Scott,Producer
22,934,Russell Crowe,Producer
22,4723,Brian Helgeland,Screenplay
23,108,Peter Jackson,Director
23,108,Peter Jackson,Producer
23,126,Fran Walsh,Producer
23,3506,Carolynne Cunningham,Producer
23,53393,Zane Weiner,Producer
23,108,Peter Jackson,Screenplay
