movie_id,actor_id,name,role
1,65731,Sam Worthington,Actor
1,8691,Zoe Saldana,Actor
1,10205,Sigourney Weaver,Actor
1,32747,Stephen Lang,Actor
1,17647,Michelle Rodriguez,Actor
2,85,Johnny Depp,Actor
2,114,Orlando Bloom,Actor
2,116,Keira Knightley,Actor
2,1640,Stellan Skarsg\u00e5rd,Actor
2,1619,Chow Yun-fat,Actor
3,8784,Daniel Craig,Actor
3,27319,Christoph Waltz,Actor
3,121529,L\u00e9a Seydoux,Actor
3,5469,Ralph Fiennes,Actor
3,28782,Monica Bellucci,Actor
4,3894,Christian Bale,Actor
4,3895,Michael Caine,Actor
4,64,Gary Oldman,Actor
4,1813,Anne Hathaway,Actor
4,2524,Tom Hardy,Actor
5,60900,Taylor Kitsch,Actor
5,21044,Lynn Collins,Actor
5,2206,Samantha Morton,Actor
5,5293,Willem Dafoe,Actor
5,19159,Thomas Haden Church,Actor
6,2219,Tobey Maguire,Actor
6,205,Kirsten Dunst,Actor
6,17051,James Franco,Actor
6,19159,Thomas Haden Church,Actor
6,17052,Topher Grace,Actor
7,69899,Zachary Levi,Actor
7,16855,Mandy Moore,Actor
7,2517,Donna Murphy,Actor
7,2372,Ron Perlman,Actor
7,22132,M.C. Gainey,Actor
8,3223,Robert Downey Jr.,Actor
8,74568,Chris Hemsworth,Actor
8,103,Mark Ruffalo,Actor
8,16828,Chris Evans,Actor
8,1245,Scarlett Johansson,Actor
9,10980,Daniel Radcliffe,Actor
9,10989,Rupert Grint,Actor
9,10990,Emma Watson,Actor
9,10993,Tom Felton,Actor
9,5658,Michael Gambon,Actor
10,880,Ben Affleck,Actor
10,73968,Henry Cavill,Actor
10,90633,Gal Gadot,Actor
10,9273,Amy Adams,Actor
10,44735,Jesse Eisenberg,Actor
11,17271,Brandon Routh,Actor
11,1979,Kevin Spacey,Actor
11,7517,Kate Bosworth,Actor
11,11006,James Marsden,Actor
11,7489,Parker Posey,Actor
12,8784,Daniel Craig,Actor
12,18182,Olga Kurylenko,Actor
12,8789,Mathieu Amalric,Actor
12,5309,Judi Dench,Actor
12,3753,Giancarlo Giannini,Actor
13,85,Johnny Depp,Actor
13,114,Orlando Bloom,Actor
13,116,Keira Knightley,Actor
13,1640,Stellan Skarsg\u00e5rd,Actor
13,2440,Bill Nighy,Actor
14,85,Johnny Depp,Actor
14,53807,Armie Hammer,Actor
14,886,William Fichtner,Actor
14,1283,Helena Bonham Carter,Actor
14,18473,James Badge Dale,Actor
15,73968,Henry Cavill,Actor
15,9273,Amy Adams,Actor
15,335,Michael Shannon,Actor
15,1269,Kevin Costner,Actor
15,2882,Diane Lane,Actor
16,25130,Ben Barnes,Actor
16,5528,William Moseley,Actor
16,5529,Anna Popplewell,Actor
16,5527,Skandar Keynes,Actor
16,5526,Georgie Henley,Actor
17,3223,Robert Downey Jr.,Actor
17,16828,Chris Evans,Actor
17,103,Mark Ruffalo,Actor
17,74568,Chris Hemsworth,Actor
17,1245,Scarlett Johansson,Actor
18,85,Johnny Depp,Actor
18,955,Pen\u00e9lope Cruz,Actor
18,6972,Ian McShane,Actor
18,2449,Kevin McNally,Actor
18,118,Geoffrey Rush,Actor
19,2888,Will Smith,Actor
19,2176,Tommy Lee Jones,Actor
19,16851,Josh Brolin,Actor
19,72873,Michael Stuhlbarg,Actor
19,7056,Emma Thompson,Actor
20,7060,Martin Freeman,Actor
20,1327,Ian McKellen,Actor
20,30315,Richard Armitage,Actor
20,25136,Ken Stott,Actor
20,95047,Graham McTavish,Actor
21,37625,Andrew Garfield,Actor
21,54693,Emma Stone,Actor
21,7026,Rhys Ifans,Actor
21,5724,Denis Leary,Actor
21,55152,Campbell Scott,Actor
22,934,Russell Crowe,Actor
22,112,Cate Blanchett,Actor
22,2201,Max von Sydow,Actor
22,227,William Hurt,Actor
22,2983,Mark Strong,Actor
23,7060,Martin Freeman,Actor
23,1327,Ian McKellen,Actor
23,30315,Richard Armitage,Actor
23,25136,Ken Stott,Actor
23,95047,Graham McTavish,Actor
24,45589,Dakota Blue Richards,Actor
24,2227,Nicole Kidman,Actor
24,8784,Daniel Craig,Actor
24,16431,Sam Elliott,Actor
24,10912,Eva Green,Actor
25,3489,Naomi Watts,Actor
25,70851,Jack Black,Actor
25,3490,Adrien Brody,Actor
25,3491,Thomas Kretschmann,Actor
25,3492,Colin Hanks,Actor
26,204,Kate Winslet,Actor
26,6193,Leonardo DiCaprio,Actor
26,3713,Frances Fisher,Actor
26,1954,Billy Zane,Actor
26,8534,Kathy Bates,Actor
27,16828,Chris Evans,Actor
27,3223,Robert Downey Jr.,Actor
27,1245,Scarlett Johansson,Actor
27,60898,Sebastian Stan,Actor
27,53650,Anthony Mackie,Actor
28,60900,Taylor Kitsch,Actor
28,28846,Alexander Skarsg\u00e5rd,Actor
28,131519,Rihanna,Actor
28,131520,Brooklyn Decker,Actor
28,13275,Tadanobu Asano,Actor
29,73457,Chris Pratt,Actor
29,18997,Bryce Dallas Howard,Actor
29,76793,Irrfan Khan,Actor
29,7132,Vincent D'Onofrio,Actor
29,1108907,Nick Robinson,Actor
30,8784,Daniel Craig,Actor
30,5309,Judi Dench,Actor
30,3810,Javier Bardem,Actor
30,5469,Ralph Fiennes,Actor
30,2038,Naomie Harris,Actor
31,2219,Tobey Maguire,Actor
31,205,Kirsten Dunst,Actor
31,17051,James Franco,Actor
31,658,Alfred Molina,Actor
31,18998,Rosemary Harris,Actor
32,3223,Robert Downey Jr.,Actor
32,12052,Gwyneth Paltrow,Actor
32,1896,Don Cheadle,Actor
32,529,Guy Pearce,Actor
32,15556,Rebecca Hall,Actor
33,76070,Mia Wasikowska,Actor
33,85,Johnny Depp,Actor
33,1813,Anne Hathaway,Actor
33,1283,Helena Bonham Carter,Actor
33,1064,Crispin Glover,Actor
34,6968,Hugh Jackman,Actor
34,4587,Halle Berry,Actor
34,1327,Ian McKellen,Actor
34,2387,Patrick Stewart,Actor
34,10696,Famke Janssen,Actor
35,7904,Billy Crystal,Actor
35,1230,John Goodman,Actor
35,884,Steve Buscemi,Actor
35,15735,Helen Mirren,Actor
35,1271300,Noah Johnston,Actor
36,10959,Shia LaBeouf,Actor
36,19537,Megan Fox,Actor
36,19536,Josh Duhamel,Actor
36,11678,Rainn Wilson,Actor
36,8169,Tyrese Gibson,Actor
37,13240,Mark Wahlberg,Actor
37,2283,Stanley Tucci,Actor
37,7090,Kelsey Grammer,Actor
37,61186,Nicola Peltz,Actor
37,1007683,Jack Reynor,Actor
38,17051,James Franco,Actor
38,18973,Mila Kunis,Actor
38,3293,Rachel Weisz,Actor
38,1812,Michelle Williams,Actor
38,5367,Zach Braff,Actor
39,37625,Andrew Garfield,Actor
39,54693,Emma Stone,Actor
39,134,Jamie Foxx,Actor
39,122889,Dane DeHaan,Actor
39,55152,Campbell Scott,Actor
40,9828,Garrett Hedlund,Actor
40,1229,Jeff Bridges,Actor
40,59315,Olivia Wilde,Actor
40,2547,Bruce Boxleitner,Actor
40,60033,Yaya DaCosta,Actor
41,887,Owen Wilson,Actor
41,15897,Larry the Cable Guy,Actor
41,3895,Michael Caine,Actor
41,1246,Emily Mortimer,Actor
41,1241,John Turturro,Actor
42,10859,Ryan Reynolds,Actor
42,59175,Blake Lively,Actor
42,133,Peter Sarsgaard,Actor
42,504,Tim Robbins,Actor
42,2983,Mark Strong,Actor
43,31,Tom Hanks,Actor
43,12898,Tim Allen,Actor
43,13726,Ned Beatty,Actor
43,3234,Joan Cusack,Actor
43,2232,Michael Keaton,Actor
44,3894,Christian Bale,Actor
44,65731,Sam Worthington,Actor
44,21028,Anton Yelchin,Actor
44,56455,Moon Bloodgood,Actor
44,18997,Bryce Dallas Howard,Actor
45,12835,Vin Diesel,Actor
45,8167,Paul Walker,Actor
45,18918,Dwayne Johnson,Actor
45,17647,Michelle Rodriguez,Actor
45,8169,Tyrese Gibson,Actor
46,287,Brad Pitt,Actor
46,175826,Mireille Enos,Actor
46,1027850,Abigail Hargrove,Actor
46,1186840,Sterling Jerins,Actor
46,18473,James Badge Dale,Actor
47,6968,Hugh Jackman,Actor
47,5530,James McAvoy,Actor
47,17288,Michael Fassbender,Actor
47,72129,Jennifer Lawrence,Actor
47,4587,Halle Berry,Actor
48,62064,Chris Pine,Actor
48,17306,Zachary Quinto,Actor
48,8691,Zoe Saldana,Actor
48,1372,Karl Urban,Actor
48,11108,Simon Pegg,Actor
49,3292,Nicholas Hoult,Actor
49,73357,Eleanor Tomlinson,Actor
49,3061,Ewan McGregor,Actor
49,2283,Stanley Tucci,Actor
49,6972,Ian McShane,Actor
50,6193,Leonardo DiCaprio,Actor
50,2219,Tobey Maguire,Actor
50,36662,Carey Mulligan,Actor
50,33192,Joel Edgerton,Actor
50,1133349,Elizabeth Debicki,Actor
51,131,Jake Gyllenhaal,Actor
51,59620,Gemma Arterton,Actor
51,2282,Ben Kingsley,Actor
51,658,Alfred Molina,Actor
51,55412,Steve Toussaint,Actor
52,17605,Idris Elba,Actor
52,56365,Charlie Hunnam,Actor
52,95101,Charlie Day,Actor
52,2372,Ron Perlman,Actor
52,39659,Burn Gorman,Actor
53,10959,Shia LaBeouf,Actor
53,6949,John Malkovich,Actor
53,83586,Ken Jeong,Actor
53,3910,Frances McDormand,Actor
53,19536,Josh Duhamel,Actor
54,3,Harrison Ford,Actor
54,112,Cate Blanchett,Actor
54,10959,Shia LaBeouf,Actor
54,5538,Ray Winstone,Actor
54,650,Karen Allen,Actor
55,963134,Raymond Ochoa,Actor
55,1476748,Jack Bright,Actor
55,2954,Jeffrey Wright,Actor
55,3910,Frances McDormand,Actor
55,1540680,Maleah Nipay-Padilla,Actor
56,9015,Kelly Macdonald,Actor
56,477,Julie Walters,Actor
56,9188,Billy Connolly,Actor
56,7056,Emma Thompson,Actor
56,9013,Kevin McKidd,Actor
57,62064,Chris Pine,Actor
57,17306,Zachary Quinto,Actor
57,1372,Karl Urban,Actor
57,11108,Simon Pegg,Actor
57,8691,Zoe Saldana,Actor
58,670,Ben Burtt,Actor
58,72754,Elissa Knight,Actor
58,60074,Jeff Garlin,Actor
58,20753,Fred Willard,Actor
58,7907,John Ratzenberger,Actor
59,66,Chris Tucker,Actor
59,18897,Jackie Chan,Actor
59,9195,Hiroyuki Sanada,Actor
59,2201,Max von Sydow,Actor
59,2245,Yvan Attal,Actor
60,3036,John Cusack,Actor
60,2956,Amanda Peet,Actor
60,5294,Chiwetel Ejiofor,Actor
60,9030,Thandie Newton,Actor
60,17485,Oliver Platt,Actor
61,64,Gary Oldman,Actor
61,206,Jim Carrey,Actor
61,78311,Steve Valentine,Actor
61,57675,Daryl Sabara,Actor
61,558926,Sage Ryan,Actor
62,18973,Mila Kunis,Actor
62,38673,Channing Tatum,Actor
62,48,Sean Bean,Actor
62,37632,Eddie Redmayne,Actor
62,230680,Douglas Booth,Actor
63,28846,Alexander Skarsg\u00e5rd,Actor
63,234352,Margot Robbie,Actor
63,27319,Christoph Waltz,Actor
63,2231,Samuel L. Jackson,Actor
63,938,Djimon Hounsou,Actor
64,5528,William Moseley,Actor
64,5529,Anna Popplewell,Actor
64,5527,Skandar Keynes,Actor
64,5526,Georgie Henley,Actor
64,3896,Liam Neeson,Actor
65,5530,James McAvoy,Actor
65,17288,Michael Fassbender,Actor
65,72129,Jennifer Lawrence,Actor
65,3292,Nicholas Hoult,Actor
65,25072,Oscar Isaac,Actor
66,3894,Christian Bale,Actor
66,1810,Heath Ledger,Actor
66,6383,Aaron Eckhart,Actor
66,3895,Michael Caine,Actor
66,1579,Maggie Gyllenhaal,Actor
67,68812,Ed Asner,Actor
67,290,Christopher Plummer,Actor
67,80676,Jordan Nagai,Actor
67,10,Bob Peterson,Actor
67,18792,Delroy Lindo,Actor
68,19274,Seth Rogen,Actor
68,368,Reese Witherspoon,Actor
68,41419,Hugh Laurie,Actor
68,22226,Paul Rudd,Actor
68,2628,Kiefer Sutherland,Actor
69,3223,Robert Downey Jr.,Actor
69,18288,Terrence Howard,Actor
69,1229,Jeff Bridges,Actor
69,17857,Shaun Toub,Actor
69,12052,Gwyneth Paltrow,Actor
70,2282,Ben Kingsley,Actor
70,6730,Sacha Baron Cohen,Actor
70,77996,Asa Butterfield,Actor
70,56734,Chlo\u00eb Grace Moretz,Actor
70,5538,Ray Winstone,Actor
71,2888,Will Smith,Actor
71,8945,Kevin Kline,Actor
71,11181,Kenneth Branagh,Actor
71,3136,Salma Hayek,Actor
71,588,M. Emmet Walsh,Actor
72,18269,Brendan Fraser,Actor
72,1336,Jet Li,Actor
72,10727,John Hannah,Actor
72,49,Maria Bello,Actor
72,55900,Luke Ford,Actor
73,2888,Will Smith,Actor
73,234352,Margot Robbie,Actor
73,92404,Joel Kinnaman,Actor
73,19492,Viola Davis,Actor
73,7499,Jared Leto,Actor
74,4495,Steve Carell,Actor
74,16858,Lauren Graham,Actor
74,1230,John Goodman,Actor
74,6860,Jimmy Bennett,Actor
74,8265,John Michael Higgins,Actor
75,500,Tom Cruise,Actor
75,5081,Emily Blunt,Actor
75,2039,Brendan Gleeson,Actor
75,2053,Bill Paxton,Actor
75,119224,Jonas Armstrong,Actor
76,1269,Kevin Costner,Actor
76,59350,Chaim Girafi,Actor
76,3432,Rick Aviles,Actor
76,49832,R. D. Call,Actor
76,59352,Zitto Kazann,Actor
77,6065,Dennis Quaid,Actor
77,38673,Channing Tatum,Actor
77,9562,Marlon Wayans,Actor
77,23459,Sienna Miller,Actor
77,24045,Joseph Gordon-Levitt,Actor
78,56322,Amy Poehler,Actor
78,169200,Phyllis Smith,Actor
78,21125,Richard Kind,Actor
78,19278,Bill Hader,Actor
78,59258,Lewis Black,Actor
79,1414734,Neel Sethi,Actor
79,1532,Bill Murray,Actor
79,2282,Ben Kingsley,Actor
79,17605,Idris Elba,Actor
79,1245,Scarlett Johansson,Actor
80,3223,Robert Downey Jr.,Actor
80,12052,Gwyneth Paltrow,Actor
80,1896,Don Cheadle,Actor
80,1245,Scarlett Johansson,Actor
80,2295,Mickey Rourke,Actor
81,37917,Kristen Stewart,Actor
81,6885,Charlize Theron,Actor
81,74568,Chris Hemsworth,Actor
81,237455,Sam Claflin,Actor
81,6972,Ian McShane,Actor
82,11701,Angelina Jolie,Actor
82,18050,Elle Fanning,Actor
82,82191,Sharlto Copley,Actor
82,32987,Sam Riley,Actor
82,36594,Juno Temple,Actor
83,1333,Andy Serkis,Actor
83,76512,Jason Clarke,Actor
83,64,Gary Oldman,Actor
83,41292,Keri Russell,Actor
83,20286,Toby Kebbell,Actor
84,2299,Josh Hartnett,Actor
84,76850,Simone Kessell,Actor
84,66442,Tamsin Egerton,Actor
84,587823,Alice Englert,Actor
