id,title,release_date,runtime,production_countries,overview,cast,crew,,,,,,,
1,Avatar,10/12/2009,162,"United States of America,United Kingdom","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,Michelle Rodriguez","Director:  James Cameron , Screenwriter:  James Cameron , Producer:  James Cameron,Producer:  Jon Landau",,,,,,,
2,Pirates of the Caribbean: At World's End,19/05/2007,169,United States of America,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","Johnny Depp,Orlando Bloom,Keira Knightley,Stellan Skarsg\u00e5rd,Chow Yun-fat","Director:  Gore Verbinski , Screenwriter:  Ted Elliott,Screenwriter:  Terry Rossio , Producer:  Jerry Bruckheimer,Producer:  Eric McLeod,Producer:  Chad Oman,Producer:  Peter Kohn,Producer:  Pat Sandston",,,,,,,
3,Spectre,26/10/2015,148,"United Kingdom,United States of America","A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","Daniel Craig,Christoph Waltz,L\u00e9a Seydoux,Ralph Fiennes,Monica Bellucci","Director:  Sam Mendes , Screenwriter:  John Logan,Screenwriter:  Robert Wade,Screenwriter:  Neal Purvis,Screenwriter:  Jez Butterworth , Producer:  Barbara Broccoli,Producer:  Michael G. Wilson",,,,,,,
4,The Dark Knight Rises,16/07/2012,165,United States of America,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","Christian Bale,Michael Caine,Gary Oldman,Anne Hathaway,Tom Hardy","Director:  Christopher Nolan , Screenwriter:  Christopher Nolan,Screenwriter:  Jonathan Nolan , Producer:  Charles Roven,Producer:  Christopher Nolan,Producer:  Emma Thomas",,,,,,,
5,John Carter,07/03/2012,132,United States of America,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","Taylor Kitsch,Lynn Collins,Samantha Morton,Willem Dafoe,Thomas Haden Church","Director:  Andrew Stanton , Screenwriter:  Andrew Stanton,Screenwriter:  Michael Chabon,Screenwriter:  Mark Andrews , Producer:  Colin Wilson,Producer:  Jim Morris,Producer:  Lindsey Collins",,,,,,,
6,Spider-Man 3,01/05/2007,139,United States of America,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","Tobey Maguire,Kirsten Dunst,James Franco,Thomas Haden Church,Topher Grace","Director:  Sam Raimi , Screenwriter:  Sam Raimi,Screenwriter:  Alvin Sargent,Screenwriter:  Ivan Raimi , Producer:  Laura Ziskin,Producer:  Avi Arad,Producer:  Grant Curtis",,,,,,,
7,Tangled,24/11/2010,100,United States of America,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","Zachary Levi,Mandy Moore,Donna Murphy,Ron Perlman,M.C. Gainey","Director:  Byron Howard,Director:  Nathan Greno , Screenwriter:  Dan Fogelman , Producer:  Roy Conli",,,,,,,
8,Avengers: Age of Ultron,22/04/2015,141,United States of America,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson","Director:  Joss Whedon , Screenwriter:   , Producer:  Kevin Feige",,,,,,,
9,Harry Potter and the Half-Blood Prince,07/07/2009,153,"United Kingdom,United States of America","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","Daniel Radcliffe,Rupert Grint,Emma Watson,Tom Felton,Michael Gambon","Director:  David Yates , Screenwriter:  Steve Kloves , Producer:  David Heyman,Producer:  David Barron,Producer:  Tim Lewis",,,,,,,
10,Batman v Superman: Dawn of Justice,23/03/2016,151,United States of America,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","Ben Affleck,Henry Cavill,Gal Gadot,Amy Adams,Jesse Eisenberg","Director:  Zack Snyder , Screenwriter:  David S. Goyer,Screenwriter:  Chris Terrio , Producer:  Charles Roven,Producer:  Deborah Snyder",,,,,,,
11,Superman Returns,28/06/2006,154,United States of America,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.","Brandon Routh,Kevin Spacey,Kate Bosworth,James Marsden,Parker Posey","Director:  Bryan Singer , Screenwriter:  Michael Dougherty,Screenwriter:  Dan Harris , Producer:  Jon Peters,Producer:  Gilbert Adler,Producer:  Bryan Singer",,,,,,,
12,Quantum of Solace,30/10/2008,106,"United Kingdom,United States of America","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench,Giancarlo Giannini","Director:  Marc Forster , Screenwriter:  Paul Haggis,Screenwriter:  Robert Wade,Screenwriter:  Neal Purvis , Producer:  Barbara Broccoli,Producer:  Michael G. Wilson",,,,,,,
13,Pirates of the Caribbean: Dead Man's Chest,20/06/2006,151,"Jamaica,United States of America,Bahamas,Dominica","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","Johnny Depp,Orlando Bloom,Keira Knightley,Stellan Skarsg\u00e5rd,Bill Nighy","Director:  Gore Verbinski , Screenwriter:  Ted Elliott,Screenwriter:  Terry Rossio , Producer:  Jerry Bruckheimer,Producer:  Peter Kohn,Producer:  Pat Sandston",,,,,,,
