person_id,name
65731,Sam Worthington
8691,Zoe Saldana
10205,Sigourney Weaver
32747,Stephen Lang
17647,Michelle Rodriguez
85,Johnny Depp
114,Orlando Bloom
116,Keira Knightley
1640,Stellan Skarsg\u00e5rd
1619,Chow Yun-fat
8784,Daniel Craig
27319,Christoph Waltz
121529,L\u00e9a Seydoux
5469,Ralph Fiennes
28782,Monica Bellucci
3894,Christian Bale
3895,Michael Caine
64,Gary Oldman
1813,Anne Hathaway
2524,Tom Hardy
60900,Taylor Kitsch
21044,Lynn Collins
2206,Samantha Morton
5293,Willem Dafoe
19159,Thomas Haden Church
2219,Tobey Maguire
205,Kirsten Dunst
17051,James Franco
17052,Topher Grace
69899,Zachary Levi
16855,Mandy Moore
2517,Donna Murphy
2372,Ron Perlman
22132,M.C. Gainey
3223,Robert Downey Jr.
74568,Chris Hemsworth
103,Mark Ruffalo
16828,Chris Evans
1245,Scarlett Johansson
10980,Daniel Radcliffe
10989,Rupert Grint
10990,Emma Watson
10993,Tom Felton
5658,Michael Gambon
880,Ben Affleck
73968,Henry Cavill
90633,Gal Gadot
9273,Amy Adams
44735,Jesse Eisenberg
17271,Brandon Routh
1979,Kevin Spacey
7517,Kate Bosworth
11006,James Marsden
7489,Parker Posey
18182,Olga Kurylenko
8789,Mathieu Amalric
5309,Judi Dench
3753,Giancarlo Giannini
2440,Bill Nighy
53807,Armie Hammer
886,William Fichtner
1283,Helena Bonham Carter
18473,James Badge Dale
335,Michael Shannon
1269,Kevin Costner
2882,Diane Lane
25130,Ben Barnes
5528,William Moseley
5529,Anna Popplewell
5527,Skandar Keynes
5526,Georgie Henley
955,Pen\u00e9lope Cruz
6972,Ian McShane
2449,Kevin McNally
118,Geoffrey Rush
2888,Will Smith
2176,Tommy Lee Jones
16851,Josh Brolin
72873,Michael Stuhlbarg
7056,Emma Thompson
7060,Martin Freeman
1327,Ian McKellen
30315,Richard Armitage
25136,Ken Stott
95047,Graham McTavish
37625,Andrew Garfield
54693,Emma Stone
7026,Rhys Ifans
5724,Denis Leary
55152,Campbell Scott
934,Russell Crowe
112,Cate Blanchett
2201,Max von Sydow
227,William Hurt
2983,Mark Strong
45589,Dakota Blue Richards
2227,Nicole Kidman
16431,Sam Elliott
10912,Eva Green
3489,Naomi Watts
70851,Jack Black
3490,Adrien Brody
3491,Thomas Kretschmann
3492,Colin Hanks
204,Kate Winslet
6193,Leonardo DiCaprio
3713,Frances Fisher
1954,Billy Zane
8534,Kathy Bates
60898,Sebastian Stan
53650,Anthony Mackie
28846,Alexander Skarsg\u00e5rd
131519,Rihanna
131520,Brooklyn Decker
13275,Tadanobu Asano
73457,Chris Pratt
18997,Bryce Dallas Howard
76793,Irrfan Khan
7132,Vincent D'Onofrio
1108907,Nick Robinson
3810,Javier Bardem
2038,Naomie Harris
658,Alfred Molina
18998,Rosemary Harris
12052,Gwyneth Paltrow
1896,Don Cheadle
529,Guy Pearce
15556,Rebecca Hall
76070,Mia Wasikowska
1064,Crispin Glover
6968,Hugh Jackman
4587,Halle Berry
2387,Patrick Stewart
10696,Famke Janssen
7904,Billy Crystal
1230,John Goodman
884,Steve Buscemi
15735,Helen Mirren
1271300,Noah Johnston
10959,Shia LaBeouf
19537,Megan Fox
19536,Josh Duhamel
11678,Rainn Wilson
8169,Tyrese Gibson
13240,Mark Wahlberg
2283,Stanley Tucci
7090,Kelsey Grammer
61186,Nicola Peltz
1007683,Jack Reynor
18973,Mila Kunis
3293,Rachel Weisz
1812,Michelle Williams
5367,Zach Braff
134,Jamie Foxx
122889,Dane DeHaan
9828,Garrett Hedlund
1229,Jeff Bridges
59315,Olivia Wilde
2547,Bruce Boxleitner
60033,Yaya DaCosta
887,Owen Wilson
15897,Larry the Cable Guy
1246,Emily Mortimer
1241,John Turturro
10859,Ryan Reynolds
59175,Blake Lively
133,Peter Sarsgaard
504,Tim Robbins
31,Tom Hanks
12898,Tim Allen
13726,Ned Beatty
3234,Joan Cusack
2232,Michael Keaton
21028,Anton Yelchin
56455,Moon Bloodgood
12835,Vin Diesel
8167,Paul Walker
18918,Dwayne Johnson
287,Brad Pitt
175826,Mireille Enos
1027850,Abigail Hargrove
1186840,Sterling Jerins
5530,James McAvoy
17288,Michael Fassbender
72129,Jennifer Lawrence
62064,Chris Pine
17306,Zachary Quinto
1372,Karl Urban
11108,Simon Pegg
3292,Nicholas Hoult
73357,Eleanor Tomlinson
3061,Ewan McGregor
36662,Carey Mulligan
33192,Joel Edgerton
1133349,Elizabeth Debicki
131,Jake Gyllenhaal
59620,Gemma Arterton
2282,Ben Kingsley
55412,Steve Toussaint
17605,Idris Elba
56365,Charlie Hunnam
95101,Charlie Day
39659,Burn Gorman
6949,John Malkovich
83586,Ken Jeong
3910,Frances McDormand
3,Harrison Ford
5538,Ray Winstone
650,Karen Allen
963134,Raymond Ochoa
1476748,Jack Bright
2954,Jeffrey Wright
1540680,Maleah Nipay-Padilla
9015,Kelly Macdonald
477,Julie Walters
9188,Billy Connolly
9013,Kevin McKidd
670,Ben Burtt
72754,Elissa Knight
60074,Jeff Garlin
20753,Fred Willard
7907,John Ratzenberger
66,Chris Tucker
18897,Jackie Chan
9195,Hiroyuki Sanada
2245,Yvan Attal
3036,John Cusack
2956,Amanda Peet
5294,Chiwetel Ejiofor
9030,Thandie Newton
17485,Oliver Platt
206,Jim Carrey
78311,Steve Valentine
57675,Daryl Sabara
558926,Sage Ryan
38673,Channing Tatum
48,Sean Bean
37632,Eddie Redmayne
230680,Douglas Booth
234352,Margot Robbie
2231,Samuel L. Jackson
938,Djimon Hounsou
3896,Liam Neeson
25072,Oscar Isaac
1810,Heath Ledger
6383,Aaron Eckhart
1579,Maggie Gyllenhaal
